status,url,name,uid
historic,http://stats.nba.com/player/#!/76001/career/,"Abdelnaby, Alaa",76001
status,url,name,uid
historic,http://stats.nba.com/player/#!/76001/career/,"Abdelnaby, Alaa",76001
status,url,name,uid
historic,http://stats.nba.com/player/#!/76001/career/,"Abdelnaby, Alaa",76001
status,url,name,uid
historic,http://stats.nba.com/player/#!/76001/career/,"Abdelnaby, Alaa",76001
status,url,name,uid
historic,http://stats.nba.com/player/#!/76001/career/,"Abdelnaby, Alaa",76001
